video_id,start_time,end_time,action,split,idx
---g-f_I2yQ,1,11,people marching,test,1
--0PQM4-hqg,30,40,waterfall burbling,train,2
--56QUhyDQM,185,195,playing tennis,train,3
--5OkAjCI7g,40,50,people belly laughing,train,4
--8puiAGLhs,30,40,car engine starting,train,5
--96EN9NUQM,242,252,alarm clock ringing,train,6
--9O4XZOge4,30,40,female speech woman speaking,train,7
--Aa4M484QM,0,10,cricket chirping,train,8
--Bu2xe4OSo,430,440,wind noise,train,9
--CC5pH97q4,4,14,foghorn,train,10
--CC5pH97q4,33,43,foghorn,train,11
--CudrykwoE,67,77,cricket chirping,train,12
--CudrykwoE,78,88,cricket chirping,train,13
--DTR0_mIGI,11,21,people battle cry,train,14
--DTR0_mIGI,32,42,people battle cry,train,15
--EquRwM9IQ,8,18,playing volleyball,train,16
--FenyW2i_4,0,10,female singing,train,17
--g-wKyj6JQ,30,40,playing harpsichord,train,18
--HuBNHXu9I,30,40,male speech man speaking,train,19
--I3Bjp_ptc,254,264,playing bassoon,train,20
--IOqc-XgYo,0,10,playing piano,train,21
--L3BCCcGEw,400,410,people clapping,train,22
--Lj4Y_96f0,120,130,bee wasp etc_ buzzing,train,23
--Nrb6rtheE,10,20,baby babbling,train,24
--PlJNEnf-s,288,298,bee wasp etc_ buzzing,train,25
--Q8wkZvDZE,150,160,people whispering,train,26
--QVnZXkb_Y,74,84,coyote howling,train,27
--QVnZXkb_Y,98,108,coyote howling,train,28
--R3QLObQ5I,319,329,metronome,train,29
--SQyOb8eS0,30,40,playing harp,train,30
--SvivLlKLU,137,147,airplane,train,31
--SvivLlKLU,662,672,airplane,train,32
--TF_YkxfvQ,1,11,rope skipping,train,33
--TF_YkxfvQ,12,22,rope skipping,train,34
--TKJIv9aY4,210,220,ambulance siren,train,35
--TKJIv9aY4,282,292,ambulance siren,train,36
--U7joUcTCo,0,10,people coughing,test,37
--UE437qBIo,1,11,pheasant crowing,train,38
--UQXuZfbFY,44,54,bird wings flapping,train,39
--UQXuZfbFY,59,69,bird wings flapping,train,40
--UgnJTCTqg,0,10,people battle cry,train,41
