video_id,start_time,end_time,action,split,idx
fAnmSgDCx6I,74,84,tractor digging,train,140001
fAns8GJzYeQ,30,40,waterfall burbling,test,140002
fAoOkwt-Fec,62,72,engine accelerating revving vroom,train,140003
fAoi3N6sOpY,16,26,cow lowing,train,140004
fAoi3N6sOpY,30,40,cow lowing,train,140005
fAtx4_6WuEQ,51,61,people booing,train,140006
fAu9t85-_J0,59,69,people burping,train,140007
fAuawx6HfAQ,55,65,playing volleyball,train,140008
fAwWq02NG5I,34,44,playing badminton,test,140009
fAwcE8lh_O4,163,173,hail,train,140010
fAwmh5BboGs,300,310,orchestra,train,140011
fAwr1JMtq2A,83,93,wind rustling leaves,train,140012
fAxjJ_9rAns,55,65,tractor digging,train,140013
fAxjJ_9rAns,494,504,tractor digging,train,140014
fB-riQD4OyA,153,163,playing flute,train,140015
fB0vQ5dyshA,4,14,dog howling,train,140016
fB1haru9V0A,10,20,lions growling,train,140017
fB7K_IM8cQo,36,46,missile launch,test,140018
fB8FhiNkLbs,162,172,people burping,train,140019
fB8UTheTR7s,370,380,playing banjo,train,140020
fB9W0awy06E,160,170,electric grinder grinding,test,140021
fBA-l3vfLl8,3,13,slot machine,train,140022
fBBZgv27LKM,4,14,playing squash,train,140023
fBIHz2HGUWw,120,130,mosquito buzzing,train,140024
fBN39jmFEfA,191,201,playing cornet,train,140025
fBN7oSiKGEM,7,17,chicken clucking,train,140026
fBNRPy9yRy0,26,36,squishing water,test,140027
fBTGCiPvFEY,30,40,playing bass drum,train,140028
fBV5WfoUen0,139,149,machine gun shooting,train,140029
fBV5WfoUen0,159,169,machine gun shooting,train,140030
fBWIMfU14Sk,200,210,air horn,train,140031
fBWQG4I17fA,5,15,playing steel guitar slide guitar,train,140032
fBWQG4I17fA,127,137,playing steel guitar slide guitar,train,140033
fBYMYe8JUss,90,100,playing accordion,train,140034
fBZG6hxsr20,580,590,eating with cutlery,train,140035
fB_tldbRb28,220,230,cap gun shooting,test,140036
fB_vADqBJEQ,29,39,playing theremin,train,140037
fB_vADqBJEQ,70,80,playing theremin,train,140038
fBe4C5bR8zY,240,250,bird wings flapping,train,140039
fBe8s4cdxpI,47,57,volcano explosion,train,140040
fBie_fjGNC4,100,110,playing clarinet,train,140041
fBk5rwmEAVg,30,40,playing marimba xylophone,train,140042
fBmRsXNTtHc,310,320,female speech woman speaking,train,140043
fBoHQo14rcM,30,40,rowboat canoe kayak rowing,train,140044
fBr7mJou0I4,84,94,foghorn,train,140045
fBsCcSE5nFA,20,30,playing hammond organ,train,140046
fBsDFIe_TWc,7,17,lighting firecrackers,test,140047
fBtAHYVPzmk,30,40,lawn mowing,train,140048
fC-mmvvz4WU,5,15,frog croaking,train,140049
fC-mmvvz4WU,18,28,frog croaking,train,140050
fC4NrlOALfg,2,12,otter growling,train,140051
fC4NrlOALfg,13,23,otter growling,train,140052
fC5qEPTMArQ,210,220,playing synthesizer,train,140053
fC6nEnG3eJo,70,80,turkey gobbling,train,140054
fCAnce0whF4,79,89,hammering nails,train,140055
fCG6BC4hUuU,350,360,playing acoustic guitar,train,140056
fCH4Sm8ozqc,81,91,volcano explosion,train,140057
fCMb0VsR9ZI,2,12,lions growling,train,140058
fCPX0V2WkTk,144,154,singing bowl,train,140059
fCRWu20zpLs,40,50,motorboat speedboat acceleration,train,140060
fCRjn-VetQU,30,40,pigeon dove cooing,train,140061
fCRo_inzb2A,30,40,female speech woman speaking,train,140062
fCSdVnS-88M,320,330,subway metro underground,train,140063
fCUl-ED2fkk,4,14,rope skipping,train,140064
fCUl-ED2fkk,55,65,rope skipping,train,140065
fCUptrKUv5Q,250,260,church bell ringing,train,140066
fCV3wzCYIJM,67,77,people eating crisps,train,140067
fCV3wzCYIJM,78,88,people eating crisps,train,140068
fCWjxTZQ190,12,22,chimpanzee pant-hooting,train,140069
fCY15k9IHWg,0,10,car engine knocking,train,140070
fCY15k9IHWg,19,29,car engine knocking,train,140071
fCZi6I6kPpU,80,90,church bell ringing,train,140072
fC_xNw3kQrs,30,40,church bell ringing,train,140073
fCaMy2NNi4k,350,360,playing electronic organ,train,140074
fCdRzPSeRR0,78,88,canary calling,train,140075
fCdRzPSeRR0,278,288,canary calling,train,140076
fCdjNwWJ5y4,115,125,playing steel guitar slide guitar,test,140077
fCfhFurcFW0,30,40,cat meowing,train,140078
fCh5AmhdeKo,28,38,baby crying,train,140079
fCl3ChISc-I,1,11,missile launch,train,140080
fCmJbv_rsJ8,101,111,goose honking,train,140081
fCmJbv_rsJ8,232,242,goose honking,train,140082
fCoqSUdOl3c,21,31,pigeon dove cooing,train,140083
fCubi5KR8Tc,10,20,missile launch,train,140084
fCvaChegSck,100,110,people whistling,train,140085
fCwdqOEVMRw,30,40,duck quacking,train,140086
fCx7XGkuLfk,30,40,crow cawing,test,140087
fD1X0yTxS68,30,40,toilet flushing,train,140088
fD2Ru1kI3FQ,30,40,playing cymbal,train,140089
fD362l9P3u8,41,51,tornado roaring,train,140090
fD3BntzaCho,279,289,scuba diving,train,140091
fD3BntzaCho,343,353,scuba diving,train,140092
fD3sYU-cWiY,495,505,slot machine,train,140093
fD6FbZLRwpY,322,332,people slurping,train,140094
fD6FbZLRwpY,738,748,people slurping,train,140095
fD7OpfzE87w,89,99,bowling impact,test,140096
fD8b3ofdles,15,25,duck quacking,train,140097
fD8zypHLhFA,64,74,tractor digging,train,140098
fD8zypHLhFA,96,106,tractor digging,train,140099
fDBWTLAjAm0,120,130,chicken crowing,train,140100
fDBydpPplzQ,63,73,roller coaster running,train,140101
fDEVsK7Ei30,6,16,pig oinking,train,140102
fDEVsK7Ei30,40,50,pig oinking,train,140103
fDHSko3HN4w,48,58,roller coaster running,train,140104
fDHZBZBAhOg,806,816,people whispering,train,140105
fDHZBZBAhOg,980,990,people whispering,train,140106
fDJyoZ2XLs4,31,41,beat boxing,train,140107
fDLyhmA3Bxs,40,50,people babbling,train,140108
fDODWiSNH-E,87,97,airplane flyby,train,140109
fDODWiSNH-E,118,128,airplane flyby,train,140110
fDOltW7Ycys,12,22,people booing,train,140111
fDP492OthUc,21,31,playing tympani,train,140112
fDP492OthUc,172,182,playing tympani,train,140113
fDSLWYHuj4g,31,41,lathe spinning,train,140114
fDSLWYHuj4g,90,100,lathe spinning,train,140115
fDSRbrz1hXA,320,330,thunder,train,140116
fDSlwpZO3jM,140,150,fireworks banging,train,140117
fDUvhvXE0CQ,40,50,bowling impact,train,140118
fDUvhvXE0CQ,178,188,bowling impact,train,140119
fDVLLIeXXoY,80,90,tap dancing,train,140120
fDX5PdL9VfY,40,50,playing synthesizer,train,140121
fDXQkWceWd8,38,48,skiing,train,140122
fDXQkWceWd8,147,157,skiing,train,140123
fDa7q28_a9Y,42,52,arc welding,train,140124
fDb3GYw6bvI,90,100,playing flute,train,140125
fDgBNYl-Wwo,276,286,people eating noodle,train,140126
fDgZeBuQMyU,47,57,people marching,train,140127
fDhd2gvWn0I,30,40,chicken crowing,train,140128
fDkSz06yDbw,30,40,female singing,train,140129
fDkaClqvHXo,24,34,pigeon dove cooing,train,140130
fDkv-IZxcPw,8,18,playing zither,train,140131
fDkv-IZxcPw,53,63,playing zither,train,140132
fDkxEFhhd7U,56,66,playing squash,train,140133
fDlrnpAi-0E,11,21,scuba diving,train,140134
fDlrnpAi-0E,861,871,scuba diving,train,140135
fDm0QzUKKaU,162,172,arc welding,train,140136
fDm0QzUKKaU,300,310,arc welding,train,140137
fDo-_WYKUW0,19,29,gibbon howling,train,140138
fDo-_WYKUW0,67,77,gibbon howling,train,140139
fDojYgwghNg,166,176,playing tabla,train,140140
fDojYgwghNg,182,192,playing tabla,train,140141
fDpyiEpIj_Y,30,40,playing accordion,train,140142
fDqJ-GsUQgo,1,11,gibbon howling,train,140143
fDsrQ1hyWeY,10,20,vehicle horn car horn honking,train,140144
fDv1tq94SYc,60,70,playing cymbal,train,140145
fDvtJYVVYr0,44,54,canary calling,train,140146
fDvtJYVVYr0,359,369,canary calling,train,140147
fDyATRWLEUU,30,40,sheep bleating,train,140148
fDzez6qsEZk,230,240,playing clarinet,train,140149
fE-A00yN-Zk,20,30,driving buses,train,140150
fE-gAW1ntzo,46,56,raining,train,140151
fE2annxR4s0,10,20,sailing,train,140152
fE3w-GXt7wQ,34,44,people burping,train,140153
fE4Z9fZnQOI,340,350,playing mandolin,train,140154
fE4Z9fZnQOI,365,375,playing mandolin,train,140155
fE5RV_XeCis,0,10,child speech kid speaking,train,140156
fE7-2gllNvE,230,240,using sewing machines,test,140157
fEA5TenQ0Tg,10,20,race car auto racing,train,140158
fECOqptfjlI,0,10,stream burbling,train,140159
fEGavnthiVQ,190,200,playing drum kit,train,140160
fEKSFYM-YKM,114,124,tap dancing,train,140161
fELL9dgIBgM,0,10,playing banjo,train,140162
fELy1qpCJGY,30,40,playing banjo,train,140163
