video_id,start_time,end_time,action,split,idx
lnIpd7ZYaz0,20,30,using sewing machines,train,160001
lnNk2OQ5aq4,30,40,playing bass guitar,train,160002
lnPEUbYqJl8,40,50,mouse pattering,train,160003
lnQXGnBbV0Q,33,43,tractor digging,train,160004
lnWP_zWFpBg,30,40,playing steelpan,test,160005
lnYOC9tKUBs,13,23,playing theremin,train,160006
lnYOC9tKUBs,24,34,playing theremin,train,160007
lnYrARRL43U,40,50,cap gun shooting,train,160008
lnZakZnnpMo,80,90,people finger snapping,test,160009
lnaUeiMlwvk,90,100,people whispering,train,160010
lnatlhCU5kI,384,394,yodelling,train,160011
lnatlhCU5kI,420,430,singing choir,train,160012
lnc8_4DWAbM,290,300,playing piano,train,160013
lncPvAjigS4,12,22,car engine knocking,train,160014
lncujsNmWUo,37,47,dog howling,train,160015
lncujsNmWUo,52,62,dog howling,train,160016
lnd5lHMYiXQ,180,190,people battle cry,train,160017
lnd5lHMYiXQ,194,204,people battle cry,train,160018
lnd7II7YeoQ,14,24,chainsawing trees,train,160019
lndowS7ZYlA,166,176,playing darts,test,160020
lnfqtfD4sfc,131,141,playing erhu,train,160021
lnftHT7-Ez0,160,170,railroad car train wagon,train,160022
lnhHid8yZQs,16,26,wind rustling leaves,train,160023
lnjFEkSXm8E,10,20,playing bagpipes,train,160024
lnjFEkSXm8E,216,226,playing bagpipes,train,160025
lnjnubaZnIk,101,111,playing mandolin,train,160026
lnkNRENd2Sk,13,23,playing trombone,train,160027
lnkjT4cLCKM,215,225,yodelling,train,160028
lnkjT4cLCKM,274,284,yodelling,train,160029
lnmPm5vGz34,0,10,underwater bubbling,train,160030
lnmPm5vGz34,11,21,underwater bubbling,train,160031
lnnF0hco4Ds,210,220,air horn,train,160032
lno7uQmaibY,170,180,lighting firecrackers,train,160033
lno7uQmaibY,190,200,lighting firecrackers,train,160034
lnouwu8AszI,22,32,people battle cry,train,160035
lnouwu8AszI,95,105,people battle cry,train,160036
lnrj2GUEI0M,156,166,cat growling,train,160037
lntQthtqTH8,380,390,police car (siren),train,160038
lnugDqGqqu4,3,13,ambulance siren,train,160039
lnwYaorKM7Y,180,190,skiing,train,160040
lnxFNgbVQgM,80,90,playing banjo,train,160041
lnxJm8OjSjE,63,73,rope skipping,test,160042
lnyzM5pMibI,30,40,car engine knocking,train,160043
lo13TWB7jdY,194,204,people eating,train,160044
lo13TWB7jdY,297,307,people eating,train,160045
lo1mFFE9ncI,376,386,playing sitar,train,160046
