video_id,start_time,end_time,action,split,idx
MF4YXg-dNOY,36,46,civil defense siren,train,80001
MF66c61kLNE,30,40,cat meowing,train,80002
MF6bPD-WYMg,10,20,fireworks banging,train,80003
MF7eP8ILd_k,0,10,lawn mowing,train,80004
MF88IYF2MHY,0,10,cat caterwauling,test,80005
MFAmvXBkhTs,30,40,police car (siren),train,80006
MFComKcAbDc,20,30,driving motorcycle,train,80007
MFD9MwhRid8,22,32,playing timbales,train,80008
MFD9MwhRid8,92,102,playing timbales,train,80009
MFEKBvUueY4,0,10,driving motorcycle,train,80010
MFEhejrPVmw,40,50,dog barking,train,80011
MFM-2PAKVF0,6,16,playing timbales,train,80012
MFM-2PAKVF0,38,48,playing timbales,train,80013
MFN9CVO1sLc,121,131,owl hooting,train,80014
MFOEaJL-1fE,30,40,playing flute,train,80015
MFOsm8rKiYk,0,10,playing vibraphone,train,80016
MFPSrq76PM8,50,60,chainsawing trees,train,80017
MFSi24fdEHQ,24,34,playing steel guitar slide guitar,train,80018
MFSi24fdEHQ,148,158,playing steel guitar slide guitar,train,80019
MFUJtXRVUfc,9,19,civil defense siren,train,80020
MFVgINLL3Lk,286,296,playing volleyball,train,80021
MF_rIhB43bg,24,34,francolin calling,train,80022
MF_rIhB43bg,34,44,francolin calling,train,80023
MFaRhAq2JLw,10,20,baby crying,train,80024
MFakx2DWBiE,167,177,civil defense siren,train,80025
MFcbOhT8kEg,2,12,playing congas,train,80026
MFdWAVkZihs,20,30,helicopter,train,80027
MFeT5nNiuJU,6,16,pheasant crowing,train,80028
MFfsCDIM1U0,52,62,rope skipping,test,80029
MFfsk4l5DQ0,20,30,people belly laughing,train,80030
MFm2C-ve7qw,30,40,playing french horn,test,80031
MFmWiYDoX38,30,40,playing cymbal,train,80032
MFnTQnXK-Pc,97,107,air conditioning noise,test,80033
MFngw6dbEac,10,20,railroad car train wagon,train,80034
MFoBZqwI8mY,72,82,snake rattling,train,80035
MFpNIROZFe4,30,40,playing harp,train,80036
MFrJ2lZZx6w,2,12,baltimore oriole calling,train,80037
MFrKd51cPSg,75,85,bull bellowing,train,80038
MFrKd51cPSg,86,96,bull bellowing,train,80039
MFtG1pwPig0,13,23,lighting firecrackers,train,80040
MFtjlXR1Fl8,170,180,playing trombone,train,80041
MFvrhmaPjzQ,681,691,people marching,train,80042
MFvrhmaPjzQ,964,974,people marching,train,80043
MFzGSrW-1sw,20,30,bee wasp etc_ buzzing,train,80044
MG0zfBVzAsk,257,267,playing cornet,train,80045
MG0zfBVzAsk,284,294,playing cornet,train,80046
MG3tQi9ed3A,79,89,running electric fan,test,80047
MG5Po9D5gKs,28,38,baltimore oriole calling,train,80048
MG5Po9D5gKs,944,954,baltimore oriole calling,train,80049
MG5YlRKiX2M,420,430,playing hammond organ,train,80050
MG6mKBO3E_I,30,40,playing vibraphone,train,80051
MG7uG8HSRhA,245,255,beat boxing,train,80052
MG9fVXF2m_0,0,10,playing theremin,train,80053
MGAQeovBmuE,20,30,playing trombone,train,80054
MGCR4fAle2w,54,64,swimming,train,80055
MGHr3iP1o-E,174,184,cap gun shooting,train,80056
MGHr3iP1o-E,338,348,cap gun shooting,train,80057
MGJiBjfp0KQ,76,86,cutting hair with electric trimmers,train,80058
MGJiBjfp0KQ,98,108,cutting hair with electric trimmers,train,80059
MGKeLasQlVk,330,340,playing bass guitar,train,80060
MGRLDDZ_2bQ,130,140,playing trumpet,train,80061
MGVfMnCtUQI,210,220,door slamming,train,80062
MGVpwhO1qMI,32,42,playing squash,train,80063
MGZgC343fWg,450,460,ocean burbling,train,80064
MG_SfVPSgMk,118,128,playing steel guitar slide guitar,train,80065
MG_SfVPSgMk,133,143,playing steel guitar slide guitar,train,80066
MGaM-X5x8H4,8,18,airplane flyby,train,80067
MGePrjhGlIk,30,40,pigeon dove cooing,train,80068
MGfanXBmjXE,30,40,female singing,train,80069
MGg-bDY46a0,30,40,dog whimpering,train,80070
MGgLUzCQnsc,100,110,slot machine,train,80071
MGjR2zgbstI,5,15,playing hammond organ,train,80072
MGke2jauexU,142,152,playing volleyball,test,80073
MGlXtoSD6SA,33,43,sea lion barking,test,80074
MGlwdoXLQIc,14,24,foghorn,train,80075
MGmTwvFeCMo,7,17,people finger snapping,train,80076
MGmTwvFeCMo,48,58,people finger snapping,train,80077
MGmtyU2P5l8,0,10,splashing water,train,80078
MGnItgaw4vw,10,20,black capped chickadee calling,train,80079
MGtVHEIcCTw,148,158,playing table tennis,train,80080
MGuyIHXGseM,35,45,popping popcorn,test,80081
MGuyIHXGseM,45,55,popping popcorn,test,80082
MGxS7Qs4AJc,50,60,playing banjo,train,80083
MGxjzhNtH6A,2,12,fox barking,train,80084
MGxjzhNtH6A,20,30,dog barking,train,80085
MGxy0Y8SakA,129,139,beat boxing,train,80086
MGyzZ4kVXb0,213,223,woodpecker pecking tree,train,80087
MH0M0LA0Rhw,8,18,playing badminton,train,80088
MH1MqlYsIKc,1,11,playing tabla,train,80089
MH1MqlYsIKc,37,47,playing tabla,train,80090
MH2xwQLsUJI,9,19,lighting firecrackers,train,80091
MH2xwQLsUJI,39,49,lighting firecrackers,train,80092
MH5ZWgG5IVc,500,510,railroad car train wagon,train,80093
MH6jMDL7smk,121,131,playing squash,train,80094
MH8chavmTOI,50,60,playing drum kit,train,80095
MH9L55k7wF0,146,156,rapping,train,80096
MH9L55k7wF0,210,220,rapping,train,80097
MHAJqiKZmI0,204,214,singing bowl,train,80098
MHAJqiKZmI0,303,313,singing bowl,train,80099
MHAYFT28nV0,30,40,playing snare drum,train,80100
MHAZd_4Ww0Y,24,34,warbler chirping,train,80101
MHAZd_4Ww0Y,43,53,warbler chirping,train,80102
