video_id,start_time,end_time,action,split,idx
slgeb5sziSE,260,270,singing choir,train,180001
slm6duI4p5U,0,10,dog howling,train,180002
slnV_vl1o20,43,53,playing accordion,train,180003
slo5xSuRNvA,80,90,railroad car train wagon,train,180004
sloQazQLtaQ,30,40,wind noise,train,180005
sloroLWSiXM,11,21,mouse squeaking,train,180006
sloroLWSiXM,25,35,mouse squeaking,train,180007
slvLIvuABjo,28,38,playing harpsichord,train,180008
slyPrSW_3Jg,16,26,toilet flushing,train,180009
slzl17ljtNo,110,120,playing piano,train,180010
sm-KbDzKs7U,120,130,playing cello,train,180011
sm6f9sHOANc,90,100,playing saxophone,train,180012
sm7eBFHtdeA,30,40,wind rustling leaves,test,180013
smA0346vG5c,395,405,playing accordion,train,180014
smA3WWc6wpc,91,101,dinosaurs bellowing,train,180015
smAxunXH-hU,7,17,vehicle horn car horn honking,train,180016
smBHJiEPCRI,30,40,duck quacking,train,180017
smCSy7hyyRg,18,28,vehicle horn car horn honking,train,180018
smDzBBXB3UI,30,40,playing vibraphone,train,180019
smJRVhMRxIQ,7,17,chinchilla barking,test,180020
smKcEKB9W24,189,199,heart sounds heartbeat,train,180021
smKcEKB9W24,210,220,heart sounds heartbeat,train,180022
smO9IMfUHnM,10,20,playing drum kit,train,180023
smS9aJidlrc,30,40,driving buses,train,180024
smT6VmSIJro,0,10,playing ukulele,train,180025
smT6VmSIJro,108,118,playing ukulele,train,180026
smTiGSAko_o,0,10,bird chirping tweeting,train,180027
smUs3hcmlS4,8,18,people finger snapping,train,180028
smUs3hcmlS4,19,29,people finger snapping,train,180029
smVWhQdC0b4,160,170,playing synthesizer,train,180030
smZHAeNF3Q4,17,27,people eating,train,180031
sm_ADflSf80,1,11,bird chirping tweeting,train,180032
smbjzYj9hB0,20,30,people crowd,train,180033
smeLYVlh_6Q,30,40,rowboat canoe kayak rowing,train,180034
smeYbLGXcIU,1,11,gibbon howling,train,180035
smgjDWe5ys4,30,40,lawn mowing,train,180036
smhsE-r2Vl4,30,40,bird chirping tweeting,train,180037
smieK7KlMkk,11,21,air conditioning noise,train,180038
smjiSAnuR6s,64,74,popping popcorn,train,180039
smkUcJMkoaM,36,46,playing volleyball,train,180040
smmcKxu1Q5A,170,180,rope skipping,train,180041
smmcKxu1Q5A,181,191,rope skipping,train,180042
smn2v3aUtOs,160,170,child speech kid speaking,train,180043
smqKcAZ4OMI,30,40,rowboat canoe kayak rowing,train,180044
smqcBKzX2-4,120,130,child speech kid speaking,train,180045
smqi7G8wcOM,30,40,goose honking,train,180046
smrm9TSWvKg,30,40,pigeon dove cooing,train,180047
smyp6lUaMEw,60,70,playing cornet,train,180048
smyp6lUaMEw,189,199,playing cornet,train,180049
sn17APs9mho,97,107,playing tabla,train,180050
sn17APs9mho,199,209,playing tabla,train,180051
sn1Ws1MDHVw,156,166,playing steel guitar slide guitar,train,180052
sn1Ws1MDHVw,218,228,playing steel guitar slide guitar,train,180053
sn3Sqa4nRtA,30,40,people sniggering,test,180054
sn4ogk9eSUQ,4,14,slot machine,train,180055
sn8rWgWNXMw,0,10,roller coaster running,train,180056
sn8rWgWNXMw,69,79,roller coaster running,train,180057
snAV_ccYfRM,70,80,playing accordion,train,180058
snBD5mCJLb4,0,10,opening or closing car doors,train,180059
snBInfu7nZ0,114,124,using sewing machines,train,180060
snCeyazbGLM,757,767,playing clarinet,train,180061
snEOLNsNVi4,76,86,playing double bass,train,180062
snG_XWvTU0s,10,20,stream burbling,train,180063
snLQmH-M7N4,40,50,bee wasp etc_ buzzing,train,180064
snMHDoaKPIY,57,67,airplane flyby,train,180065
snOVG0lAgkQ,470,480,eating with cutlery,test,180066
snPTIuJrKXk,20,30,male singing,train,180067
snQFKlNjaWU,152,162,penguins braying,train,180068
snR9TvRupjU,0,10,cat caterwauling,test,180069
snSl73J_PJk,110,120,playing violin fiddle,train,180070
snbtH1P3MVA,34,44,playing timbales,train,180071
snbtH1P3MVA,119,129,playing timbales,train,180072
snfXTcyofxc,30,40,engine accelerating revving vroom,train,180073
snfZ9quf-Jk,30,40,sailing,train,180074
snh7E7llb48,70,80,dog bow-wow,train,180075
sniCPTArbrg,348,358,skiing,train,180076
snjAw1blbXU,30,40,playing cymbal,train,180077
snnUrLb6KwQ,136,146,tap dancing,train,180078
snv3X4PUPOY,7,17,electric shaver electric razor shaving,train,180079
snxMjHP5agw,1,11,people cheering,test,180080
snxOSGEkIIU,30,40,playing bagpipes,train,180081
snyzyJlTBbg,3,13,dog baying,train,180082
snyzyJlTBbg,13,23,dog baying,train,180083
snzXqe7bN_4,0,10,railroad car train wagon,train,180084
so1u_Cr2oE8,30,40,driving motorcycle,train,180085
so7Mm3SraO4,52,62,church bell ringing,train,180086
so7Mm3SraO4,410,420,church bell ringing,train,180087
so8iWTZhO0o,34,44,playing sitar,train,180088
so8iWTZhO0o,55,65,playing sitar,train,180089
so9oXNF-0hg,30,40,playing harpsichord,train,180090
soBP2g8GSTs,20,30,playing hammond organ,train,180091
soCh9U2TU48,44,54,lathe spinning,train,180092
soCh9U2TU48,75,85,lathe spinning,train,180093
soDn2puEuL8,13,23,playing trombone,train,180094
soDn2puEuL8,79,89,playing trombone,train,180095
soEfiSk4XUM,30,40,fireworks banging,train,180096
soHRQlHoj8c,11,21,roller coaster running,train,180097
soHRQlHoj8c,84,94,roller coaster running,train,180098
soHXA8fMzKU,20,30,playing bass guitar,train,180099
soI-zt1Dkhk,330,340,playing marimba xylophone,train,180100
soNR0-Clr64,380,390,people crowd,train,180101
soO2iBO3BZg,240,250,chicken crowing,train,180102
soOMXu8PW-g,20,30,fireworks banging,train,180103
soOWdd9lqsQ,16,26,spraying water,test,180104
soQAsg_7CYw,0,10,people hiccup,test,180105
soSikoW-S5Q,2,12,cricket chirping,train,180106
soTOh3zYJfY,40,50,skidding,train,180107
soXBLBCaClA,30,40,people babbling,train,180108
sodyFG2eU9U,60,70,people crowd,train,180109
soeGx6QCHlQ,615,625,tapping guitar,train,180110
soeGx6QCHlQ,628,638,tapping guitar,train,180111
sofXB5-nlb8,80,90,chicken crowing,train,180112
sofnQSYWJJQ,100,110,people crowd,train,180113
sohv_bp-lMg,8,18,singing choir,train,180114
sohv_bp-lMg,84,94,singing choir,train,180115
soiUxPgRNNA,83,93,scuba diving,train,180116
solIBis6mlc,50,60,printer printing,train,180117
son1mFjaZUY,344,354,scuba diving,train,180118
sooyEN3jHtw,121,131,child singing,train,180119
sooyEN3jHtw,151,161,child singing,train,180120
sopItEUX7XM,100,110,chainsawing trees,train,180121
sos_Ppbhn5I,323,333,basketball bounce,train,180122
sosmMya-v6k,782,792,people cheering,test,180123
sotvgwFm-MI,55,65,playing zither,train,180124
sotvgwFm-MI,139,149,playing zither,train,180125
soxaB6KCkDU,90,100,helicopter,train,180126
sozRijF3xAU,7,17,child singing,train,180127
sozRijF3xAU,22,32,child singing,train,180128
sozTC0jj7nM,30,40,mosquito buzzing,train,180129
sp-dvFzVxgM,30,40,playing hammond organ,train,180130
sp2v1Wjr3NI,101,111,dinosaurs bellowing,train,180131
sp50oz6P8AE,10,20,playing marimba xylophone,train,180132
sp63vL5h2yY,40,50,door slamming,train,180133
sp69Ndnhdbk,30,40,lawn mowing,train,180134
sp6_5r9121Y,59,69,wood thrush calling,train,180135
spEp5a0F1Ag,40,50,people crowd,train,180136
spID7HYqDRA,38,48,squishing water,train,180137
spK6WUqfWxI,20,30,baltimore oriole calling,train,180138
spK6WUqfWxI,71,81,baltimore oriole calling,train,180139
spNFTWUltZU,196,206,hail,train,180140
spNFTWUltZU,207,217,hail,train,180141
spNt2qlGKH0,160,170,playing saxophone,train,180142
spOySZFD2MA,108,118,baby laughter,train,180143
spOySZFD2MA,193,203,baby laughter,train,180144
spPxCn3I4V8,30,40,playing accordion,test,180145
spXO-P4avEA,30,40,people crowd,train,180146
spd1qsgCPZI,480,490,playing tabla,train,180147
spdVuqK0udQ,30,40,playing harpsichord,train,180148
spkB5ezAt0g,0,10,people babbling,train,180149
spkoMj3FT3k,220,230,playing vibraphone,train,180150
spmF_OOWQGY,30,40,splashing water,train,180151
spmS-g58UZA,520,530,rowboat canoe kayak rowing,train,180152
spmT_T3-55o,437,447,lawn mowing,train,180153
spo_77QF8pA,30,40,mouse pattering,train,180154
spplzADWm90,2,12,scuba diving,train,180155
spplzADWm90,36,46,scuba diving,train,180156
spqqoTH48IM,53,63,playing steelpan,train,180157
spqqoTH48IM,157,167,playing steelpan,train,180158
spxPGPVPetw,10,20,typing on computer keyboard,train,180159
sq-PQBO4fM8,30,40,orchestra,train,180160
sq3rxtrgTew,0,10,playing harp,train,180161
sq6SZnx2mx4,103,113,playing erhu,train,180162
sqG_x30NQ8A,120,130,orchestra,train,180163
sqGwflGZk4Y,80,90,playing badminton,test,180164
sqH1jp_Ghb4,235,245,playing steel guitar slide guitar,train,180165
sqH1jp_Ghb4,285,295,playing steel guitar slide guitar,train,180166
sqLsPS_Eb1g,283,293,mynah bird singing,train,180167
sqOfHbmmnik,70,80,people whispering,train,180168
sqPAx1sBSlc,75,85,playing steel guitar slide guitar,train,180169
sqPAx1sBSlc,128,138,playing steel guitar slide guitar,train,180170
sqRN7gvO3kQ,0,10,playing bass guitar,train,180171
sqU08GCWfSY,30,40,printer printing,train,180172
sqWGev3ce4s,50,60,people hiccup,train,180173
sqXu3mqXVN0,30,40,helicopter,train,180174
sqcgsDa1vNw,122,132,playing steel guitar slide guitar,train,180175
sqcgsDa1vNw,232,242,playing steel guitar slide guitar,train,180176
sqfrEyGDmmE,180,190,playing harp,train,180177
sqgwzQUfnDk,10,20,driving motorcycle,train,180178
sqk1-q8gXcY,282,292,people booing,train,180179
sqlAHP2VXaY,154,164,slot machine,train,180180
sqoHNt9vm-Y,0,10,playing ukulele,train,180181
sqoHNt9vm-Y,47,57,playing ukulele,train,180182
sqpnbKYsG50,60,70,cap gun shooting,train,180183
sqroigBGc98,216,226,air conditioning noise,train,180184
sqsI2UyrcBQ,30,40,engine accelerating revving vroom,train,180185
sqt0isejnYU,60,70,playing cymbal,train,180186
sqvoBCJfdl4,30,40,printer printing,train,180187
sr1sn6RS-F4,154,164,strike lighter,train,180188
sr1sn6RS-F4,371,381,strike lighter,train,180189
sr5k6qrVsRs,145,155,cricket chirping,train,180190
sr5k6qrVsRs,155,165,cricket chirping,train,180191
sr9Z8EZb7Js,90,100,playing banjo,train,180192
srCto0x3fgc,216,226,train whistling,train,180193
srCto0x3fgc,227,237,train whistling,train,180194
srDLQI-fcac,0,10,people sobbing,train,180195
srFDz-fzezc,120,130,playing electronic organ,train,180196
srFfwga0SU8,5,15,elephant trumpeting,train,180197
srFfwga0SU8,30,40,elephant trumpeting,train,180198
srFwVic8KT0,88,98,owl hooting,train,180199
srFwVic8KT0,121,131,owl hooting,train,180200
srGhXnefH8k,28,38,scuba diving,test,180201
srGhXnefH8k,41,51,scuba diving,test,180202
srI0c71jpqA,28,38,people shuffling,train,180203
srKUhIHRHfw,19,29,police car (siren),train,180204
srPSDiFomMg,240,250,wind rustling leaves,train,180205
srSRYBfyr3U,40,50,lions growling,train,180206
srSljBMma2Q,0,10,playing trumpet,train,180207
srZMS-mOtvs,122,132,striking bowling,train,180208
srcd4eYftTM,219,229,people booing,train,180209
srcd4eYftTM,277,287,people booing,train,180210
srfWz9DzSvg,30,40,pigeon dove cooing,train,180211
srftf-2rfH0,30,40,orchestra,train,180212
srgAKYQwKco,50,60,playing tabla,train,180213
srgAKYQwKco,60,70,playing tabla,train,180214
