video_id,start_time,end_time,action,split,idx
Z_EjoLgsfcI,167,177,electric shaver electric razor shaving,train,120001
Z_FExyHpKEE,33,43,typing on typewriter,train,120002
Z_HBfzIx6m0,191,201,dog whimpering,train,120003
Z_HBfzIx6m0,238,248,dog whimpering,train,120004
Z_Kp2kwt1F4,4,14,opening or closing drawers,train,120005
Z_Kp2kwt1F4,36,46,opening or closing drawers,train,120006
Z_QXTt9S0qg,30,40,playing cymbal,train,120007
Z_SXJ2xcFRc,30,40,orchestra,train,120008
Z_UKx3-VRt8,70,80,playing cymbal,train,120009
Z_UTff6Ehbc,30,40,frog croaking,train,120010
Z__IjjEMaxw,92,102,chopping food,test,120011
Z_a_PuxKUwc,0,10,lighting firecrackers,test,120012
Z_b8ArYk0WQ,273,283,swimming,train,120013
Z_b8ArYk0WQ,309,319,swimming,train,120014
Z_cjaSA6ECo,8,18,playing timbales,train,120015
Z_cjaSA6ECo,44,54,playing timbales,train,120016
Z_dSNjscGZc,148,158,rope skipping,train,120017
Z_dSNjscGZc,195,205,rope skipping,train,120018
Z_e0BXqrMdo,29,39,people sniggering,train,120019
Z_ekp8ICSo0,20,30,subway metro underground,train,120020
Z_fImy7yqq8,30,40,playing french horn,train,120021
Z_gJZIBXgdE,15,25,playing ukulele,train,120022
Z_gJZIBXgdE,152,162,playing ukulele,train,120023
Z_lDN8M80RY,250,260,people sniggering,train,120024
Z_lfyNqBuZY,10,20,civil defense siren,train,120025
Z_m03YV8Wek,80,90,child speech kid speaking,train,120026
Z_mqWXwfUzM,0,10,people sneezing,train,120027
Z_nfTuIsJuA,22,32,people booing,train,120028
Z_prZn13JXY,93,103,tornado roaring,test,120029
Z_refFOnkGs,30,40,rowboat canoe kayak rowing,train,120030
Z_sW4UxpbbY,50,60,using sewing machines,train,120031
Z_zNKBF6P88,20,30,playing electric guitar,train,120032
Za-mhFoIEFY,5,15,playing volleyball,train,120033
Za0p9CDS5-8,130,140,playing hammond organ,train,120034
Za2ezCNvBeU,15,25,cap gun shooting,train,120035
Za6nKgLfUeQ,530,540,playing harmonica,train,120036
Za8bwlW9dNE,89,99,bull bellowing,test,120037
Za9i93D2yKc,174,184,canary calling,train,120038
Za9i93D2yKc,198,208,canary calling,train,120039
ZaBIqegAiBc,68,78,francolin calling,train,120040
ZaBIqegAiBc,85,95,francolin calling,train,120041
ZaDW9nPktkU,159,169,eating with cutlery,train,120042
ZaJ6E9TGvfw,6,16,ice cream truck ice cream van,train,120043
ZaJ6E9TGvfw,18,28,ice cream truck ice cream van,train,120044
ZaKQ9RPyOkE,30,40,printer printing,train,120045
ZaOCI5hJayo,10,20,orchestra,train,120046
ZaOUM-6JLu0,30,40,pigeon dove cooing,train,120047
ZaPiZg5T1KI,170,180,playing synthesizer,train,120048
ZaQbTPNh59k,30,40,child speech kid speaking,train,120049
ZaUaqnLdg6k,30,40,skateboarding,test,120050
ZaVSw-V89HE,40,50,orchestra,test,120051
ZaXWIcv52Ac,10,20,hail,train,120052
ZaXWIcv52Ac,34,44,hail,train,120053
ZaZ4GHJJzqY,24,34,singing choir,train,120054
ZaZ4GHJJzqY,42,52,singing choir,train,120055
ZaZf5uArwZg,30,40,people burping,train,120056
ZaaZ6MuPILg,0,10,dog growling,train,120057
ZabaIY7WsQk,204,214,scuba diving,train,120058
ZabaIY7WsQk,1049,1059,scuba diving,train,120059
ZacoaT-mJuM,308,318,playing flute,train,120060
ZaeoBu4SHFE,149,159,hammering nails,train,120061
ZaeoBu4SHFE,160,170,hammering nails,train,120062
ZahBai58_Ec,330,340,playing accordion,test,120063
Zaj-bfz8Zok,60,70,people burping,train,120064
ZajvuDvvaGs,572,582,people eating noodle,train,120065
ZamVetpvpZI,0,10,singing bowl,train,120066
ZaoRL9pP0Qk,33,43,civil defense siren,train,120067
ZaoyNa23OJU,455,465,arc welding,train,120068
ZapCfNJvvJo,93,103,people booing,train,120069
ZasOzcyZrvY,90,100,playing accordion,train,120070
ZatV1okt63s,32,42,playing mandolin,train,120071
ZatV1okt63s,142,152,playing mandolin,train,120072
Zatwfmwl6dc,30,40,printer printing,train,120073
ZavYvrefl24,30,40,playing bass drum,train,120074
Zax9UJ70v_Q,7,17,goat bleating,train,120075
ZayPIwznveo,54,64,horse neighing,train,120076
ZazvNu68aBA,27,37,playing gong,train,120077
Zb0mN8pwBSc,40,50,playing bass drum,train,120078
Zb2R8bkwYf4,64,74,people booing,train,120079
Zb4bLLeFf6w,30,40,driving buses,test,120080
Zb5maOZJRak,161,171,playing bongo,train,120081
Zb79bWyGtsg,7,17,fire crackling,train,120082
ZbAk9OTE5_c,241,251,playing badminton,train,120083
ZbBt2B84_vA,170,180,male speech man speaking,train,120084
ZbF52LmJ3RQ,189,199,people nose blowing,train,120085
ZbFecWg09BI,50,60,parrot talking,train,120086
ZbFecWg09BI,65,75,parrot talking,train,120087
ZbFsmB_ikjE,267,277,canary calling,train,120088
ZbFsmB_ikjE,282,292,canary calling,train,120089
ZbILeh5q_NE,65,75,playing trombone,train,120090
ZbKGpONS5HI,15,25,playing mandolin,train,120091
ZbKGpONS5HI,28,38,playing mandolin,train,120092
ZbLUIko0YTg,70,80,playing saxophone,train,120093
ZbMmJapDcuQ,30,40,pigeon dove cooing,train,120094
ZbNiGfQpXNQ,47,57,cheetah chirrup,train,120095
ZbNiGfQpXNQ,58,68,cheetah chirrup,train,120096
ZbP80iLIdDE,197,207,vacuum cleaner cleaning floors,train,120097
ZbPrsPmws94,40,50,playing harp,train,120098
ZbQUxea9nu4,0,10,door slamming,train,120099
ZbRO9ohEoIU,310,320,playing acoustic guitar,train,120100
ZbT6gV4v6G8,37,47,people eating noodle,train,120101
ZbT6gV4v6G8,100,110,people eating noodle,train,120102
ZbUWv3RY1N0,12,22,coyote howling,train,120103
ZbUWv3RY1N0,27,37,coyote howling,train,120104
ZbWU9eApi5M,409,419,playing tuning fork,train,120105
ZbXRhUDCOvw,1,11,people gargling,test,120106
