video_id,start_time,end_time,action,split,idx
49Z9l5j9cUc,39,49,tap dancing,train,20001
49_BMvgI8c8,40,50,race car auto racing,train,20002
49bodvIUNqI,8,18,train horning,train,20003
49bodvIUNqI,24,34,train horning,train,20004
49c_ZAXGdzM,30,40,cat meowing,train,20005
49gHbOawf7Q,31,41,vacuum cleaner cleaning floors,train,20006
49gi-iYJ1F0,49,59,tap dancing,train,20007
49gi-iYJ1F0,107,117,tap dancing,train,20008
49hqgCiJ44w,50,60,chicken crowing,train,20009
49iqcjeqXSI,30,40,playing acoustic guitar,train,20010
49nqh7uI9fw,30,40,baby babbling,test,20011
49oz56M6mAE,162,172,playing erhu,train,20012
49q2LnJ3kZ8,30,40,car engine starting,train,20013
49qZtbMmFbg,140,150,playing piano,train,20014
49rVwHBq8Gg,30,40,playing violin fiddle,train,20015
49rcmPsXB8U,368,378,playing bassoon,train,20016
49sQAv1gdDk,56,66,people eating crisps,train,20017
49sQAv1gdDk,83,93,people eating crisps,train,20018
49wGNz_2wbI,44,54,playing harmonica,train,20019
49wGNz_2wbI,156,166,playing harmonica,train,20020
49wP_Zmqkyc,30,40,chainsawing trees,train,20021
49xUStsDcZo,3,13,volcano explosion,train,20022
4A-c6Vhzhhk,148,158,playing bassoon,train,20023
4A1Z4fiC3tY,58,68,missile launch,train,20024
4A3_lLVLpUg,340,350,helicopter,test,20025
4A5lud7-cJo,21,31,fire truck siren,test,20026
4A5rK35fSvQ,0,10,dinosaurs bellowing,train,20027
4A5xu5qP0xM,2,12,civil defense siren,train,20028
4A5xu5qP0xM,13,23,civil defense siren,train,20029
4A6lj86QJ6s,180,190,playing piano,train,20030
4A7NBS7AF9c,9,19,electric grinder grinding,train,20031
4ADxi494xsA,80,90,typing on computer keyboard,train,20032
4AEQuHAOIdw,110,120,railroad car train wagon,train,20033
4AEXCr_4g5Y,194,204,rope skipping,train,20034
4AEXCr_4g5Y,315,325,rope skipping,train,20035
4AFD4kUi9aw,9,19,playing sitar,train,20036
4AFZcyWd7S4,27,37,dog growling,train,20037
4AGPIbAduiY,50,60,playing harpsichord,train,20038
4AHAeGLIrBc,30,40,playing bagpipes,test,20039
4AIWnfIvjqE,352,362,people whistling,train,20040
4AO8JyAmeLI,30,40,male singing,train,20041
4APTjM2MQDM,13,23,cattle bovinae cowbell,train,20042
4APTjM2MQDM,23,33,cattle bovinae cowbell,train,20043
4APZ02Kp7kE,15,25,playing mandolin,train,20044
4APZ02Kp7kE,48,58,playing mandolin,train,20045
4AQ7CiJBMAg,30,40,playing acoustic guitar,train,20046
4ATLujKZxHw,30,40,car passing by,train,20047
4AVkevEna9w,30,40,playing electric guitar,train,20048
4AW-0Tc0yds,22,32,tornado roaring,train,20049
4AW-0Tc0yds,238,248,tornado roaring,train,20050
4AW6LJPmMmE,44,54,tractor digging,train,20051
4AWUlyZP_CM,90,100,baby laughter,test,20052
4AXCW_lKY2k,14,24,machine gun shooting,train,20053
4AXCW_lKY2k,26,36,machine gun shooting,train,20054
4AYySiliYAw,10,20,dog barking,train,20055
4AZEq7cFo5s,216,226,cell phone buzzing,train,20056
4AZdGSl2fUs,37,47,squishing water,train,20057
4AZdGSl2fUs,100,110,squishing water,train,20058
4A_hxCjm3JI,58,68,lighting firecrackers,train,20059
4A_hxCjm3JI,68,78,lighting firecrackers,train,20060
4Aa5AEzTGfI,18,28,bull bellowing,train,20061
4AaY8e2SDgE,270,280,skidding,train,20062
4AbCbxFdCsc,450,460,playing violin fiddle,train,20063
4AcALMtbYUw,18,28,missile launch,train,20064
4AcALMtbYUw,39,49,missile launch,train,20065
4AdfqUVT-so,30,40,playing harpsichord,train,20066
4AgnH-5hgIw,10,20,singing choir,train,20067
4Aj3Dh648ug,103,113,mouse squeaking,train,20068
4Aj3Dh648ug,157,167,mouse squeaking,train,20069
4AjEY-M6SBw,85,95,train whistling,train,20070
4Ajmf8R0EAc,46,56,playing bongo,train,20071
4AkpSsKPJ6o,30,40,male speech man speaking,train,20072
4AkrJe-lHDA,208,218,cutting hair with electric trimmers,train,20073
4AkrJe-lHDA,247,257,cutting hair with electric trimmers,train,20074
4Amoz63s9L4,156,166,playing bongo,train,20075
4Amoz63s9L4,202,212,playing bongo,train,20076
4AoJyInBRk0,128,138,playing double bass,train,20077
4AoJyInBRk0,139,149,playing double bass,train,20078
4Aokn0KL8Vs,200,210,playing marimba xylophone,train,20079
4Ap280oQUu4,30,40,male singing,train,20080
4ApkJFVaItw,30,40,playing drum kit,train,20081
4Au6hL7urlY,296,306,fly housefly buzzing,test,20082
4Au6hL7urlY,368,378,fly housefly buzzing,test,20083
4Av-qsIIncg,30,40,sliding door,train,20084
4AzFRugCZS8,354,364,beat boxing,train,20085
4AzODKVPEX0,10,20,elk bugling,train,20086
4AzODKVPEX0,28,38,elk bugling,train,20087
4B-5x4dFaFo,30,40,playing acoustic guitar,train,20088
4B0XlqLPFQI,330,340,playing gong,test,20089
4B14L71mVeU,149,159,wind rustling leaves,train,20090
4B23XgPXjjU,140,150,skidding,train,20091
4B4UAW1jEnU,2,12,beat boxing,train,20092
4B50xtVr8p8,20,30,playing flute,train,20093
4B57J2gCuqY,80,90,wind noise,train,20094
4B58IF7-aHI,30,40,motorboat speedboat acceleration,train,20095
4B5EyibNaqQ,0,10,playing marimba xylophone,train,20096
4B5oNZxGQjQ,3,13,chicken crowing,train,20097
4B8DvJ7BYa4,22,32,singing bowl,train,20098
4BFOgNwhpkQ,303,313,eagle screaming,test,20099
4BFOgNwhpkQ,336,346,eagle screaming,test,20100
4BFbWuN33lU,49,59,pheasant crowing,train,20101
4BFbWuN33lU,147,157,pheasant crowing,train,20102
4BFjHgWHsCw,60,70,pigeon dove cooing,train,20103
4BGKdwx_9Kw,30,40,male speech man speaking,train,20104
4BIDXxmZ-P0,204,214,shot football,train,20105
4BK-071pAfI,30,40,cat meowing,train,20106
4BKWckrRtNE,30,40,playing trumpet,train,20107
4BKfn2mv6ag,76,86,playing banjo,train,20108
4BMz5f8t9eg,380,390,people clapping,train,20109
4BO3VrbC5e0,1184,1194,dinosaurs bellowing,train,20110
4BO6EbCTKwM,16,26,motorboat speedboat acceleration,test,20111
4BOmn7MItog,156,166,playing darts,test,20112
4BRBT3Bvt94,30,40,duck quacking,train,20113
4BUKAcdGfaI,9,19,tap dancing,test,20114
4BVXDxXnbME,114,124,playing congas,train,20115
4BVXDxXnbME,220,230,playing congas,train,20116
4BWu4qQ0ghM,2,12,wind rustling leaves,train,20117
4BXHzF0SJio,30,40,female singing,train,20118
4BYBBM_9HNE,54,64,frog croaking,train,20119
4BYBBM_9HNE,160,170,frog croaking,train,20120
4BazFix9xzg,60,70,playing banjo,train,20121
4BcFZthWcE4,30,40,driving buses,train,20122
4BcfXZ8cniA,15,25,vacuum cleaner cleaning floors,train,20123
4BcfXZ8cniA,31,41,vacuum cleaner cleaning floors,train,20124
4Befx-JsySg,30,40,playing cymbal,train,20125
4BfgygJEowo,44,54,mynah bird singing,train,20126
4BfgygJEowo,76,86,mynah bird singing,train,20127
